"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","941"
"eastern cape","Public Health","8103"
"free state","Private Health","689"
"free state","Public Health","4470"
"gauteng","Private Health","6397"
"gauteng","Public Health","9972"
"kwazulu-natal","Private Health","1487"
"kwazulu-natal","Public Health","6441"
"limpopo","Private Health","945"
"limpopo","Public Health","6074"
"mpumalanga","Private Health","481"
"mpumalanga","Public Health","4585"
"mpumalanga","","5"
"northern cape","Private Health","274"
"northern cape","Public Health","1077"
"north west","Private Health","1144"
"north west","Public Health","3293"
"western cape","Private Health","2577"
"western cape","Public Health","3603"
