"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537069"
"kwazulu-natal","Private Health","1236764"
"western cape","Private Health","1922222"
"limpopo","Private Health","608911"
"northern cape","Public Health","608874"
"gauteng","Private Health","4573851"
"kwazulu-natal","Public Health","4663870"
"free state","Public Health","1865339"
"north west","Public Health","1785831"
"gauteng","Public Health","5837531"
"mpumalanga","Private Health","406370"
"mpumalanga","Public Health","1930612"
"northern cape","Private Health","158073"
"eastern cape","Private Health","694177"
"western cape","Public Health","3683111"
"limpopo","Public Health","3145344"
"free state","Private Health","400423"
"eastern cape","Public Health","3548990"
