"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","63"
"eastern cape","Public Health","921"
"free state","Private Health","59"
"free state","Public Health","418"
"gauteng","Private Health","702"
"gauteng","Public Health","1097"
"kwazulu-natal","Private Health","183"
"kwazulu-natal","Public Health","1125"
"limpopo","Private Health","108"
"limpopo","Public Health","635"
"mpumalanga","Private Health","52"
"mpumalanga","Public Health","742"
"northern cape","Private Health","14"
"northern cape","Public Health","53"
"north west","Private Health","54"
"north west","Public Health","207"
"western cape","Private Health","279"
"western cape","Public Health","402"
