"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","19"
"eastern cape","Public Health","404"
"free state","Private Health","22"
"free state","Public Health","310"
"gauteng","Private Health","330"
"gauteng","Public Health","838"
"kwazulu-natal","Private Health","45"
"kwazulu-natal","Public Health","532"
"limpopo","Private Health","128"
"limpopo","Public Health","588"
"mpumalanga","Private Health","13"
"mpumalanga","Public Health","441"
"northern cape","Private Health","1"
"northern cape","Public Health","123"
"north west","Private Health","37"
"north west","Public Health","189"
"western cape","Private Health","48"
"western cape","Public Health","433"
