"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530114"
"kwazulu-natal","Private Health","1218774"
"western cape","Private Health","1893413"
"limpopo","Private Health","593604"
"northern cape","Public Health","580837"
"gauteng","Private Health","4493526"
"kwazulu-natal","Public Health","4514167"
"free state","Public Health","1812935"
"north west","Public Health","1755303"
"gauteng","Public Health","5730405"
"mpumalanga","Private Health","396320"
"mpumalanga","Public Health","1845278"
"northern cape","Private Health","155311"
"eastern cape","Private Health","681848"
"western cape","Public Health","3626436"
"limpopo","Public Health","3069240"
"free state","Private Health","393312"
"eastern cape","Public Health","3412682"
