"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920364"
"eastern cape","Pfizer","1351414"
"free state","Johnson & Johnson","488332"
"free state","Pfizer","680212"
"gauteng","Johnson & Johnson","1555910"
"gauteng","Pfizer","3931720"
"kwazulu-natal","Johnson & Johnson","1250859"
"kwazulu-natal","Pfizer","1998426"
"limpopo","Johnson & Johnson","1083514"
"limpopo","Pfizer","1051838"
"mpumalanga","Johnson & Johnson","833646"
"mpumalanga","Pfizer","580138"
"northern cape","Johnson & Johnson","216526"
"northern cape","Pfizer","228188"
"north west","Johnson & Johnson","715539"
"north west","Pfizer","626920"
"western cape","Johnson & Johnson","754038"
"western cape","Pfizer","2128905"
