"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920364"
"Janssen Vaccines & Prevention B.V","free state","Adults","488332"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1555914"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1250861"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083514"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","833646"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216526"
"Janssen Vaccines & Prevention B.V","north west","Adults","715539"
"Janssen Vaccines & Prevention B.V","western cape","Adults","754038"
"Pfizer","eastern cape","12-17 Years","116311"
"Pfizer","eastern cape","Adults","1138356"
"Pfizer","free state","12-17 Years","80083"
"Pfizer","free state","Adults","598351"
"Pfizer","gauteng","12-17 Years","170345"
"Pfizer","gauteng","Adults","3409404"
"Pfizer","kwazulu-natal","12-17 Years","133724"
"Pfizer","kwazulu-natal","Adults","1664552"
"Pfizer","limpopo","12-17 Years","99192"
"Pfizer","limpopo","Adults","884240"
"Pfizer","mpumalanga","12-17 Years","52556"
"Pfizer","mpumalanga","Adults","478304"
"Pfizer","northern cape","12-17 Years","14826"
"Pfizer","northern cape","Adults","195090"
"Pfizer","north west","12-17 Years","52743"
"Pfizer","north west","Adults","542253"
"Pfizer","western cape","12-17 Years","54187"
"Pfizer","western cape","Adults","1871045"
