"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536937"
"kwazulu-natal","Private Health","1236444"
"western cape","Private Health","1921987"
"limpopo","Private Health","608446"
"northern cape","Public Health","608198"
"gauteng","Private Health","4572177"
"kwazulu-natal","Public Health","4660073"
"free state","Public Health","1863529"
"north west","Public Health","1784823"
"gauteng","Public Health","5833167"
"mpumalanga","Private Health","406316"
"mpumalanga","Public Health","1928058"
"northern cape","Private Health","157994"
"eastern cape","Private Health","694033"
"western cape","Public Health","3680701"
"limpopo","Public Health","3142207"
"free state","Private Health","400229"
"eastern cape","Public Health","3545289"
