"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10506","5124","15630"
"National","eastern cape","Private Health","Male","8878","3972","12850"
"National","eastern cape","Public Health","Female","143999","50830","194829"
"National","eastern cape","Public Health","Male","118071","35523","153594"
"National","free state","Private Health","Female","9172","4601","13773"
"National","free state","Private Health","Male","7523","3488","11011"
"National","free state","Public Health","Female","83854","39833","123687"
"National","free state","Public Health","Male","71641","29771","101412"
"National","gauteng","Private Health","Female","53789","30261","84050"
"National","gauteng","Private Health","Male","49398","25891","75289"
"National","gauteng","Public Health","Female","163510","65659","229169"
"National","gauteng","Public Health","Male","129116","48100","177216"
"National","kwazulu-natal","Private Health","Female","17212","9704","26916"
"National","kwazulu-natal","Private Health","Male","15555","8249","23804"
"National","kwazulu-natal","Public Health","Female","156176","64105","220281"
"National","kwazulu-natal","Public Health","Male","106313","39002","145315"
"National","limpopo","Private Health","Female","11835","5163","16998"
"National","limpopo","Private Health","Male","9211","3607","12818"
"National","limpopo","Public Health","Female","141043","47490","188533"
"National","limpopo","Public Health","Male","122538","35552","158090"
"National","mpumalanga","Private Health","Female","4027","1721","5748"
"National","mpumalanga","Private Health","Male","3513","1505","5018"
"National","mpumalanga","Public Health","Female","75470","25408","100878"
"National","mpumalanga","Public Health","Male","62713","17742","80455"
"National","northern cape","Private Health","Female","2144","1067","3211"
"National","northern cape","Private Health","Male","1971","809","2780"
"National","northern cape","Public Health","Female","17105","5682","22787"
"National","northern cape","Public Health","Male","13367","4166","17533"
"National","north west","Private Health","Female","5258","2447","7705"
"National","north west","Private Health","Male","4751","2045","6796"
"National","north west","Public Health","Female","79025","27887","106912"
"National","north west","Public Health","Male","65439","20152","85591"
"National","western cape","Private Health","Female","23631","12692","36323"
"National","western cape","Private Health","Male","21272","10972","32244"
"National","western cape","Public Health","Female","47078","15846","62924"
"National","western cape","Public Health","Male","39315","12973","52288"
