"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532586"
"free state","","2"
"kwazulu-natal","Private Health","1225183"
"western cape","Private Health","1903333"
"limpopo","Private Health","597511"
"northern cape","Public Health","591739"
"gauteng","Private Health","4522468"
"kwazulu-natal","Public Health","4561055"
"free state","Public Health","1829326"
"north west","Public Health","1766848"
"gauteng","Public Health","5764618"
"mpumalanga","Private Health","400172"
"mpumalanga","Public Health","1871642"
"northern cape","Private Health","156216"
"eastern cape","Private Health","685786"
"western cape","Public Health","3642741"
"limpopo","Public Health","3088752"
"free state","Private Health","395545"
"eastern cape","Public Health","3444270"
