"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","6"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","14"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","12"
"Janssen Vaccines & Prevention B.V","north west","Adults","10"
"Janssen Vaccines & Prevention B.V","western cape","Adults","1"
"Pfizer","eastern cape","12-17 Years","0"
"Pfizer","eastern cape","Adults","1"
"Pfizer","gauteng","12-17 Years","2"
"Pfizer","gauteng","Adults","16"
"Pfizer","kwazulu-natal","12-17 Years","4"
"Pfizer","kwazulu-natal","Adults","29"
"Pfizer","limpopo","12-17 Years","0"
"Pfizer","limpopo","Adults","5"
"Pfizer","mpumalanga","12-17 Years","1"
"Pfizer","mpumalanga","Adults","2"
"Pfizer","north west","12-17 Years","4"
"Pfizer","north west","Adults","22"
"Pfizer","western cape","Adults","5"
