"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539070"
"free state","","6"
"kwazulu-natal","Private Health","1239088"
"western cape","Private Health","1925312"
"limpopo","Private Health","612843"
"northern cape","Public Health","620360"
"gauteng","Private Health","4593383"
"kwazulu-natal","Public Health","4710259"
"mpumalanga","","23"
"free state","Public Health","1882475"
"north west","Public Health","1810826"
"gauteng","Public Health","5914661"
"mpumalanga","Private Health","407023"
"mpumalanga","Public Health","1966061"
"western cape","","3"
"northern cape","Private Health","158543"
"eastern cape","Private Health","695794"
"western cape","Public Health","3715439"
"limpopo","Public Health","3200529"
"limpopo","","2"
"free state","Private Health","402888"
"eastern cape","Public Health","3638091"
