"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538989"
"free state","","6"
"kwazulu-natal","Private Health","1239065"
"western cape","Private Health","1925251"
"limpopo","Private Health","612736"
"northern cape","Public Health","620059"
"gauteng","Private Health","4592857"
"kwazulu-natal","Public Health","4709313"
"mpumalanga","","23"
"free state","Public Health","1882133"
"north west","Public Health","1810172"
"gauteng","Public Health","5912451"
"mpumalanga","Private Health","407020"
"mpumalanga","Public Health","1965291"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695768"
"western cape","Public Health","3714496"
"limpopo","Public Health","3199347"
"limpopo","","2"
"free state","Private Health","402867"
"eastern cape","Public Health","3636046"
