"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918964"
"Janssen Vaccines & Prevention B.V","free state","Adults","487724"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1550565"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1247961"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1081457"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","831399"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216296"
"Janssen Vaccines & Prevention B.V","north west","Adults","714505"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752284"
"Pfizer","eastern cape","12-17 Years","109248"
"Pfizer","eastern cape","Adults","1132912"
"Pfizer","free state","12-17 Years","79688"
"Pfizer","free state","Adults","595855"
"Pfizer","gauteng","12-17 Years","170550"
"Pfizer","gauteng","Adults","3399380"
"Pfizer","kwazulu-natal","12-17 Years","132304"
"Pfizer","kwazulu-natal","Adults","1658382"
"Pfizer","limpopo","12-17 Years","96893"
"Pfizer","limpopo","Adults","881447"
"Pfizer","mpumalanga","12-17 Years","50176"
"Pfizer","mpumalanga","Adults","476162"
"Pfizer","northern cape","12-17 Years","14305"
"Pfizer","northern cape","Adults","194515"
"Pfizer","north west","12-17 Years","52798"
"Pfizer","north west","Adults","540843"
"Pfizer","western cape","12-17 Years","53555"
"Pfizer","western cape","Adults","1866902"
