"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535723"
"kwazulu-natal","Private Health","1233604"
"western cape","Private Health","1916690"
"limpopo","Private Health","605882"
"northern cape","Public Health","605851"
"gauteng","Private Health","4558455"
"kwazulu-natal","Public Health","4640649"
"free state","Public Health","1854896"
"north west","Public Health","1780215"
"gauteng","Public Health","5812922"
"mpumalanga","Private Health","405550"
"mpumalanga","Public Health","1915481"
"northern cape","Private Health","157541"
"eastern cape","Private Health","692616"
"western cape","Public Health","3669846"
"limpopo","Public Health","3127202"
"free state","Private Health","399054"
"eastern cape","Public Health","3513534"
