"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","526215"
"kwazulu-natal","Private Health","1210450"
"western cape","Private Health","1879256"
"limpopo","Private Health","588227"
"northern cape","Public Health","569745"
"gauteng","Private Health","4459532"
"kwazulu-natal","Public Health","4428389"
"free state","Public Health","1788133"
"north west","Public Health","1732551"
"gauteng","Public Health","5667542"
"mpumalanga","Private Health","392651"
"mpumalanga","Public Health","1807341"
"northern cape","Private Health","154121"
"eastern cape","Private Health","676998"
"western cape","Public Health","3601028"
"limpopo","Public Health","3012498"
"free state","Private Health","389218"
"eastern cape","Public Health","3354393"
