"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","905533"
"Janssen Vaccines & Prevention B.V","free state","Adults","481432"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1514207"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1217414"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1067630"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","804967"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211961"
"Janssen Vaccines & Prevention B.V","north west","Adults","706365"
"Janssen Vaccines & Prevention B.V","western cape","Adults","741623"
"Pfizer","eastern cape","12-17 Years","85938"
"Pfizer","eastern cape","Adults","1103743"
"Pfizer","free state","12-17 Years","73836"
"Pfizer","free state","Adults","580258"
"Pfizer","gauteng","12-17 Years","162283"
"Pfizer","gauteng","Adults","3338302"
"Pfizer","kwazulu-natal","12-17 Years","107964"
"Pfizer","kwazulu-natal","Adults","1608976"
"Pfizer","limpopo","12-17 Years","82903"
"Pfizer","limpopo","Adults","862556"
"Pfizer","mpumalanga","12-17 Years","42012"
"Pfizer","mpumalanga","Adults","459585"
"Pfizer","northern cape","12-17 Years","10132"
"Pfizer","northern cape","Adults","189031"
"Pfizer","north west","12-17 Years","49773"
"Pfizer","north west","Adults","530229"
"Pfizer","western cape","12-17 Years","50679"
"Pfizer","western cape","Adults","1843971"
