"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","30"
"eastern cape","Public Health","1462"
"free state","Private Health","77"
"free state","Public Health","323"
"gauteng","Private Health","154"
"gauteng","Public Health","942"
"kwazulu-natal","Private Health","31"
"kwazulu-natal","Public Health","805"
"limpopo","Private Health","97"
"limpopo","Public Health","552"
"mpumalanga","Private Health","7"
"mpumalanga","Public Health","545"
"northern cape","Private Health","3"
"northern cape","Public Health","221"
"north west","Private Health","36"
"north west","Public Health","234"
"western cape","Private Health","59"
"western cape","Public Health","410"
