"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","95"
"Janssen Vaccines & Prevention B.V","free state","Adults","19"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","332"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","179"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","93"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","100"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","34"
"Janssen Vaccines & Prevention B.V","north west","Adults","48"
"Janssen Vaccines & Prevention B.V","western cape","Adults","89"
"Pfizer","eastern cape","12-17 Years","227"
"Pfizer","eastern cape","Adults","186"
"Pfizer","free state","12-17 Years","54"
"Pfizer","free state","Adults","94"
"Pfizer","gauteng","12-17 Years","33"
"Pfizer","gauteng","Adults","202"
"Pfizer","kwazulu-natal","12-17 Years","69"
"Pfizer","kwazulu-natal","Adults","142"
"Pfizer","limpopo","12-17 Years","106"
"Pfizer","limpopo","Adults","79"
"Pfizer","mpumalanga","12-17 Years","109"
"Pfizer","mpumalanga","Adults","80"
"Pfizer","northern cape","12-17 Years","24"
"Pfizer","northern cape","Adults","21"
"Pfizer","north west","12-17 Years","7"
"Pfizer","north west","Adults","49"
"Pfizer","western cape","12-17 Years","86"
"Pfizer","western cape","Adults","70"
