"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538878"
"free state","","6"
"kwazulu-natal","Private Health","1238993"
"western cape","Private Health","1925117"
"limpopo","Private Health","612605"
"northern cape","Public Health","619712"
"gauteng","Private Health","4592030"
"kwazulu-natal","Public Health","4707750"
"mpumalanga","","23"
"free state","Public Health","1881638"
"north west","Public Health","1809115"
"gauteng","Public Health","5908606"
"mpumalanga","Private Health","407016"
"mpumalanga","Public Health","1963892"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695712"
"western cape","Public Health","3712971"
"limpopo","Public Health","3197613"
"limpopo","","2"
"free state","Private Health","402846"
"eastern cape","Public Health","3633076"
