"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537510"
"kwazulu-natal","Private Health","1237356"
"western cape","Private Health","1923134"
"limpopo","Private Health","609936"
"northern cape","Public Health","610365"
"gauteng","Private Health","4578841"
"kwazulu-natal","Public Health","4673377"
"mpumalanga","","15"
"free state","Public Health","1869098"
"north west","Public Health","1789339"
"gauteng","Public Health","5849212"
"mpumalanga","Private Health","406637"
"mpumalanga","Public Health","1937162"
"northern cape","Private Health","158182"
"eastern cape","Private Health","694542"
"western cape","Public Health","3688151"
"limpopo","Public Health","3153555"
"free state","Private Health","400986"
"eastern cape","Public Health","3562056"
