"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","66"
"Janssen Vaccines & Prevention B.V","free state","Adults","36"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","236"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","122"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","191"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","154"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","7"
"Janssen Vaccines & Prevention B.V","north west","Adults","64"
"Janssen Vaccines & Prevention B.V","western cape","Adults","62"
"Pfizer","eastern cape","12-17 Years","549"
"Pfizer","eastern cape","Adults","226"
"Pfizer","free state","12-17 Years","49"
"Pfizer","free state","Adults","126"
"Pfizer","gauteng","12-17 Years","85"
"Pfizer","gauteng","Adults","379"
"Pfizer","kwazulu-natal","12-17 Years","170"
"Pfizer","kwazulu-natal","Adults","152"
"Pfizer","limpopo","12-17 Years","162"
"Pfizer","limpopo","Adults","111"
"Pfizer","mpumalanga","12-17 Years","213"
"Pfizer","mpumalanga","Adults","124"
"Pfizer","northern cape","12-17 Years","15"
"Pfizer","northern cape","Adults","24"
"Pfizer","north west","12-17 Years","38"
"Pfizer","north west","Adults","33"
"Pfizer","western cape","12-17 Years","36"
"Pfizer","western cape","Adults","107"
