"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","75"
"eastern cape","Public Health","1735"
"free state","Private Health","15"
"free state","Public Health","571"
"gauteng","Private Health","556"
"gauteng","Public Health","1163"
"kwazulu-natal","Private Health","68"
"kwazulu-natal","Public Health","897"
"limpopo","Private Health","114"
"limpopo","Public Health","1020"
"mpumalanga","Private Health","30"
"mpumalanga","Public Health","850"
"northern cape","Private Health","22"
"northern cape","Public Health","105"
"north west","Private Health","56"
"north west","Public Health","209"
"western cape","Private Health","137"
"western cape","Public Health","444"
