"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539323"
"free state","","6"
"kwazulu-natal","Private Health","1239164"
"western cape","Private Health","1925450"
"limpopo","Private Health","612925"
"northern cape","Public Health","620657"
"gauteng","Private Health","4594628"
"kwazulu-natal","Public Health","4712148"
"mpumalanga","","23"
"free state","Public Health","1883017"
"north west","Public Health","1812267"
"gauteng","Public Health","5918733"
"mpumalanga","Private Health","407038"
"mpumalanga","Public Health","1967342"
"western cape","","3"
"northern cape","Private Health","158547"
"eastern cape","Private Health","695850"
"western cape","Public Health","3717736"
"limpopo","Public Health","3201593"
"limpopo","","2"
"free state","Private Health","402896"
"eastern cape","Public Health","3639771"
