"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10684","4856","15540"
"National","eastern cape","Private Health","Male","8885","3708","12593"
"National","eastern cape","Public Health","Female","127034","33184","160218"
"National","eastern cape","Public Health","Male","102331","22014","124345"
"National","free state","Private Health","Female","8913","3946","12859"
"National","free state","Private Health","Male","7275","3016","10291"
"National","free state","Public Health","Female","79035","32896","111931"
"National","free state","Public Health","Male","67216","24044","91260"
"National","gauteng","Private Health","Female","54182","28641","82823"
"National","gauteng","Private Health","Male","49245","24317","73562"
"National","gauteng","Public Health","Female","149924","52386","202310"
"National","gauteng","Public Health","Male","118345","38232","156577"
"National","kwazulu-natal","Private Health","Female","17475","9394","26869"
"National","kwazulu-natal","Private Health","Male","15758","7915","23673"
"National","kwazulu-natal","Public Health","Female","127182","40843","168025"
"National","kwazulu-natal","Public Health","Male","86211","24661","110872"
"National","limpopo","Private Health","Female","10925","4498","15423"
"National","limpopo","Private Health","Male","8547","3231","11778"
"National","limpopo","Public Health","Female","118541","34119","152660"
"National","limpopo","Public Health","Male","99705","25509","125214"
"National","mpumalanga","Private Health","Female","4023","1608","5631"
"National","mpumalanga","Private Health","Male","3526","1385","4911"
"National","mpumalanga","Public Health","Female","66552","17653","84205"
"National","mpumalanga","Public Health","Male","55810","12760","68570"
"National","northern cape","Private Health","Female","2139","994","3133"
"National","northern cape","Private Health","Male","1943","734","2677"
"National","northern cape","Public Health","Female","12480","3505","15985"
"National","northern cape","Public Health","Male","9980","2639","12619"
"National","north west","Private Health","Female","5262","2330","7592"
"National","north west","Private Health","Male","4740","1944","6684"
"National","north west","Public Health","Female","74259","22356","96615"
"National","north west","Public Health","Male","61232","15970","77202"
"National","western cape","Private Health","Female","23716","11758","35474"
"National","western cape","Private Health","Male","21164","10003","31167"
"National","western cape","Public Health","Female","46701","14860","61561"
"National","western cape","Public Health","Male","38733","12125","50858"
