"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","515483"
"kwazulu-natal","Private Health","1191494"
"western cape","Private Health","1847707"
"limpopo","Private Health","574480"
"northern cape","Public Health","547692"
"gauteng","Private Health","4381466"
"kwazulu-natal","Public Health","4249746"
"free state","Public Health","1732281"
"north west","Public Health","1684408"
"gauteng","Public Health","5525993"
"mpumalanga","Private Health","385575"
"mpumalanga","Public Health","1736317"
"northern cape","Private Health","150932"
"eastern cape","Private Health","665057"
"western cape","Public Health","3549189"
"limpopo","Public Health","2899790"
"free state","Private Health","379255"
"eastern cape","Public Health","3226375"
