"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","25"
"eastern cape","Public Health","735"
"free state","Private Health","53"
"free state","Public Health","494"
"gauteng","Private Health","247"
"gauteng","Public Health","1025"
"kwazulu-natal","Private Health","34"
"kwazulu-natal","Public Health","778"
"limpopo","Private Health","130"
"limpopo","Public Health","807"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","414"
"northern cape","Private Health","18"
"northern cape","Public Health","96"
"north west","Private Health","30"
"north west","Public Health","290"
"western cape","Private Health","38"
"western cape","Public Health","536"
