"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","12"
"eastern cape","Public Health","255"
"free state","Private Health","23"
"free state","Public Health","9"
"gauteng","Private Health","147"
"gauteng","Public Health","172"
"kwazulu-natal","Private Health","38"
"kwazulu-natal","Public Health","145"
"limpopo","Private Health","32"
"limpopo","Public Health","14"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","47"
"northern cape","Public Health","1"
"north west","Private Health","12"
"north west","Public Health","378"
"western cape","Private Health","8"
"western cape","Public Health","8"
