"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","491"
"eastern cape","Public Health","6941"
"free state","Private Health","464"
"free state","Public Health","2797"
"gauteng","Private Health","3363"
"gauteng","Public Health","6589"
"kwazulu-natal","Private Health","673"
"kwazulu-natal","Public Health","5993"
"limpopo","Private Health","672"
"limpopo","Public Health","5351"
"mpumalanga","Private Health","315"
"mpumalanga","Public Health","2866"
"northern cape","Private Health","127"
"northern cape","Public Health","1208"
"north west","Private Health","490"
"north west","Public Health","2043"
"western cape","Private Health","1401"
"western cape","Public Health","1996"
