"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103309"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120198"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72292"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","108084"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51524"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166353"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212815"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","91064"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81398"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76147"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153736"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144887"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33452"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","330388"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","564008"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","103009"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","470236"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108275"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80265"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","347144"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58863"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64195"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102960"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67869"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142424"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102950"
