"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","864766","0","156507","1021273"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","465224","0","95936","561160"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1438300","0","215872","1654172"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1166007","0","185687","1351694"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1057775","0","161051","1218826"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","818633","0","133306","951939"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","208925","0","35726","244651"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","696485","0","118383","814868"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","664825","0","113920","778745"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24222","85095"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137612","0","65388","203000"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94509","0","40023","134532"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34192","0","17016","51208"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21988","0","7152","29140"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23484","0","8966","32450"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94621","0","61527","156148"
"Pfizer","National","eastern cape","Adults","1371146","1154365","260678","2786189"
"Pfizer","National","eastern cape","12-17 Years","301671","127761","0","429432"
"Pfizer","National","free state","12-17 Years","167263","80119","0","247382"
"Pfizer","National","free state","Adults","687737","603986","146343","1438066"
"Pfizer","National","gauteng","12-17 Years","379396","167782","27","547205"
"Pfizer","National","gauteng","Adults","3960484","3431827","695785","8088096"
"Pfizer","National","kwazulu-natal","Adults","2017461","1678103","341813","4037377"
"Pfizer","National","kwazulu-natal","12-17 Years","287998","132004","12","420014"
"Pfizer","National","limpopo","Adults","1066602","893703","182826","2143131"
"Pfizer","National","limpopo","12-17 Years","291212","102241","2","393455"
"Pfizer","National","mpumalanga","12-17 Years","147654","56088","1","203743"
"Pfizer","National","mpumalanga","Adults","588769","484448","110637","1183854"
"Pfizer","National","northern cape","12-17 Years","37387","15934","0","53321"
"Pfizer","National","northern cape","Adults","230892","196976","37736","465604"
"Pfizer","National","north west","12-17 Years","148283","52418","4","200705"
"Pfizer","National","north west","Adults","634331","547294","116236","1297861"
"Pfizer","National","western cape","12-17 Years","129263","54648","3","183914"
"Pfizer","National","western cape","Adults","2140072","1878930","497155","4516157"
