"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538708"
"kwazulu-natal","Private Health","1238813"
"western cape","Private Health","1924891"
"limpopo","Private Health","612362"
"northern cape","Public Health","618960"
"gauteng","Private Health","4590880"
"kwazulu-natal","Public Health","4704804"
"mpumalanga","","23"
"free state","Public Health","1880556"
"north west","Public Health","1807176"
"gauteng","Public Health","5901589"
"mpumalanga","Private Health","407007"
"mpumalanga","Public Health","1961646"
"western cape","","3"
"northern cape","Private Health","158535"
"eastern cape","Private Health","695644"
"western cape","Public Health","3710070"
"limpopo","Public Health","3194256"
"limpopo","","2"
"free state","Private Health","402646"
"eastern cape","Public Health","3626345"
