"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","89"
"eastern cape","Public Health","1939"
"free state","Private Health","68"
"free state","Public Health","913"
"gauteng","Private Health","943"
"gauteng","Public Health","1360"
"kwazulu-natal","Private Health","216"
"kwazulu-natal","Public Health","2265"
"limpopo","Private Health","249"
"limpopo","Public Health","1466"
"mpumalanga","Private Health","195"
"mpumalanga","Public Health","1608"
"northern cape","Private Health","25"
"northern cape","Public Health","820"
"north west","Private Health","99"
"north west","Public Health","593"
"western cape","Private Health","339"
"western cape","Public Health","754"
