"province","health_sector","visit_date","total_number_vaccines_administered"
"eastern cape","Private Health","2021/05/17 00:00:00","64"
"eastern cape","Private Health","2021/03/18 00:00:00","377"
"limpopo","Public Health","2022/05/12 00:00:00","7893"
"north west","Private Health","2021/12/28 00:00:00","804"
"north west","Private Health","2021/03/11 00:00:00","207"
"northern cape","Private Health","2021/09/05 00:00:00","92"
"limpopo","Private Health","2021/10/16 00:00:00","619"
"northern cape","Public Health","2022/04/27 00:00:00","90"
"limpopo","Public Health","2021/07/02 00:00:00","18731"
"north west","Public Health","2021/12/13 00:00:00","3842"
"free state","Public Health","2022/01/18 00:00:00","4462"
"western cape","Public Health","2021/09/26 00:00:00","20"
"limpopo","Private Health","2021/06/28 00:00:00","363"
"kwazulu-natal","Public Health","2021/12/21 00:00:00","6379"
"gauteng","Public Health","2022/01/10 00:00:00","19920"
"limpopo","Public Health","2022/06/11 00:00:00","249"
"free state","Public Health","2021/05/17 00:00:00","262"
"free state","Private Health","2021/07/15 00:00:00","1638"
"western cape","Private Health","2021/03/18 00:00:00","164"
"western cape","Public Health","2021/08/13 00:00:00","19161"
"kwazulu-natal","Public Health","2021/10/08 00:00:00","20590"
"kwazulu-natal","Public Health","2021/12/23 00:00:00","4336"
"northern cape","Public Health","2022/04/03 00:00:00","1"
"limpopo","Public Health","2022/04/09 00:00:00","652"
"eastern cape","Private Health","2022/01/25 00:00:00","1817"
"mpumalanga","Public Health","2021/07/25 00:00:00","236"
"free state","Public Health","2021/02/25 00:00:00","801"
"limpopo","Private Health","2022/02/03 00:00:00","1142"
"gauteng","Private Health","2021/03/10 00:00:00","975"
"mpumalanga","Public Health","2021/09/21 00:00:00","9128"
"gauteng","Private Health","2021/03/21 00:00:00","12"
"gauteng","Public Health","2022/04/30 00:00:00","1738"
"eastern cape","Private Health","2022/02/23 00:00:00","1526"
"eastern cape","Public Health","2021/11/21 00:00:00","903"
"mpumalanga","Public Health","2021/10/12 00:00:00","10393"
"kwazulu-natal","Public Health","2021/05/10 00:00:00","1709"
"limpopo","Public Health","2021/07/11 00:00:00","6"
"western cape","Public Health","2022/03/25 00:00:00","7031"
"northern cape","Public Health","2021/08/29 00:00:00","898"
"mpumalanga","Public Health","2022/01/10 00:00:00","5299"
"eastern cape","Private Health","2021/10/21 00:00:00","3321"
"kwazulu-natal","Private Health","2022/02/11 00:00:00","2443"
"free state","Private Health","2022/01/04 00:00:00","820"
"north west","Private Health","2021/07/24 00:00:00","1074"
"limpopo","Private Health","2021/05/24 00:00:00","43"
"free state","Public Health","2021/11/10 00:00:00","9552"
"limpopo","Private Health","2021/06/08 00:00:00","187"
