"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531822"
"kwazulu-natal","Private Health","1222800"
"western cape","Private Health","1899647"
"limpopo","Private Health","596007"
"northern cape","Public Health","587567"
"gauteng","Private Health","4512285"
"kwazulu-natal","Public Health","4543609"
"free state","Public Health","1823361"
"north west","Public Health","1762410"
"gauteng","Public Health","5752155"
"mpumalanga","Private Health","398613"
"mpumalanga","Public Health","1861383"
"northern cape","Private Health","155909"
"eastern cape","Private Health","684543"
"western cape","Public Health","3636593"
"limpopo","Public Health","3082017"
"free state","Private Health","394910"
"eastern cape","Public Health","3431954"
