"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","11"
"eastern cape","Public Health","1293"
"free state","Private Health","21"
"free state","Public Health","260"
"gauteng","Private Health","235"
"gauteng","Public Health","1137"
"kwazulu-natal","Private Health","49"
"kwazulu-natal","Public Health","587"
"limpopo","Private Health","27"
"limpopo","Public Health","878"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","637"
"northern cape","Private Health","2"
"northern cape","Public Health","150"
"north west","Private Health","31"
"north west","Public Health","302"
"western cape","Private Health","25"
"western cape","Public Health","485"
