"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10700","4618","15318"
"National","eastern cape","Private Health","Male","8874","3501","12375"
"National","eastern cape","Public Health","Female","113692","22499","136191"
"National","eastern cape","Public Health","Male","91218","14805","106023"
"National","free state","Private Health","Female","8781","3697","12478"
"National","free state","Private Health","Male","7146","2844","9990"
"National","free state","Public Health","Female","75054","27644","102698"
"National","free state","Public Health","Male","63470","19872","83342"
"National","gauteng","Private Health","Female","54074","27189","81263"
"National","gauteng","Private Health","Male","48939","22826","71765"
"National","gauteng","Public Health","Female","143355","43154","186509"
"National","gauteng","Public Health","Male","112946","31861","144807"
"National","kwazulu-natal","Private Health","Female","17538","9048","26586"
"National","kwazulu-natal","Private Health","Male","15728","7639","23367"
"National","kwazulu-natal","Public Health","Female","115636","27840","143476"
"National","kwazulu-natal","Public Health","Male","78339","17431","95770"
"National","limpopo","Private Health","Female","10307","4231","14538"
"National","limpopo","Private Health","Male","8187","3046","11233"
"National","limpopo","Public Health","Female","110438","28411","138849"
"National","limpopo","Public Health","Male","92650","21513","114163"
"National","mpumalanga","Private Health","Female","4040","1531","5571"
"National","mpumalanga","Private Health","Male","3507","1309","4816"
"National","mpumalanga","Public Health","Female","60145","14109","74254"
"National","mpumalanga","Public Health","Male","50165","10217","60382"
"National","northern cape","Private Health","Female","2133","950","3083"
"National","northern cape","Private Health","Male","1913","695","2608"
"National","northern cape","Public Health","Female","10988","3209","14197"
"National","northern cape","Public Health","Male","8823","2432","11255"
"National","north west","Private Health","Female","5216","2179","7395"
"National","north west","Private Health","Male","4697","1844","6541"
"National","north west","Public Health","Female","70403","18031","88434"
"National","north west","Public Health","Male","58525","12930","71455"
"National","western cape","Private Health","Female","23604","11293","34897"
"National","western cape","Private Health","Male","20976","9526","30502"
"National","western cape","Public Health","Female","46604","14450","61054"
"National","western cape","Public Health","Male","38471","11748","50219"
