"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502857"
"kwazulu-natal","Private Health","1169506"
"western cape","Private Health","1808748"
"limpopo","Private Health","559873"
"northern cape","Public Health","534914"
"gauteng","Private Health","4289670"
"kwazulu-natal","Public Health","4126826"
"free state","Public Health","1679384"
"north west","Public Health","1633152"
"gauteng","Public Health","5397936"
"mpumalanga","Private Health","378609"
"mpumalanga","Public Health","1674451"
"northern cape","Private Health","147609"
"eastern cape","Private Health","651529"
"western cape","Public Health","3501820"
"limpopo","Public Health","2815475"
"free state","Private Health","369107"
"eastern cape","Public Health","3120537"
