"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883805"
"Janssen Vaccines & Prevention B.V","free state","Adults","470764"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1465697"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1181861"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1044329"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","776442"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207764"
"Janssen Vaccines & Prevention B.V","north west","Adults","690888"
"Janssen Vaccines & Prevention B.V","western cape","Adults","727008"
"Pfizer","eastern cape","12-17 Years","45423"
"Pfizer","eastern cape","Adults","1075473"
"Pfizer","free state","12-17 Years","54057"
"Pfizer","free state","Adults","564182"
"Pfizer","gauteng","12-17 Years","125030"
"Pfizer","gauteng","Adults","3252906"
"Pfizer","kwazulu-natal","12-17 Years","61958"
"Pfizer","kwazulu-natal","Adults","1554708"
"Pfizer","limpopo","12-17 Years","57201"
"Pfizer","limpopo","Adults","839807"
"Pfizer","mpumalanga","12-17 Years","27166"
"Pfizer","mpumalanga","Adults","445329"
"Pfizer","northern cape","12-17 Years","7286"
"Pfizer","northern cape","Adults","184243"
"Pfizer","north west","12-17 Years","34984"
"Pfizer","north west","Adults","514925"
"Pfizer","western cape","12-17 Years","47017"
"Pfizer","western cape","Adults","1815293"
