"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","2"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","4"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","1"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","45"
"Pfizer","eastern cape","Adults","93"
"Pfizer","free state","12-17 Years","3"
"Pfizer","free state","Adults","23"
"Pfizer","gauteng","12-17 Years","31"
"Pfizer","gauteng","Adults","151"
"Pfizer","kwazulu-natal","12-17 Years","11"
"Pfizer","kwazulu-natal","Adults","81"
"Pfizer","limpopo","12-17 Years","22"
"Pfizer","limpopo","Adults","54"
"Pfizer","mpumalanga","12-17 Years","38"
"Pfizer","mpumalanga","Adults","23"
"Pfizer","northern cape","12-17 Years","15"
"Pfizer","northern cape","Adults","10"
"Pfizer","north west","12-17 Years","7"
"Pfizer","north west","Adults","41"
"Pfizer","western cape","12-17 Years","11"
"Pfizer","western cape","Adults","68"
