"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","10"
"eastern cape","Public Health","923"
"free state","Private Health","10"
"free state","Public Health","151"
"gauteng","Private Health","88"
"gauteng","Public Health","895"
"kwazulu-natal","Private Health","30"
"kwazulu-natal","Public Health","429"
"limpopo","Private Health","27"
"limpopo","Public Health","599"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","349"
"northern cape","Public Health","128"
"north west","Private Health","20"
"north west","Public Health","281"
"western cape","Private Health","10"
"western cape","Public Health","523"
