"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538595"
"kwazulu-natal","Private Health","1238578"
"western cape","Private Health","1924724"
"limpopo","Private Health","612261"
"northern cape","Public Health","617975"
"gauteng","Private Health","4589717"
"kwazulu-natal","Public Health","4701961"
"mpumalanga","","22"
"free state","Public Health","1879539"
"north west","Public Health","1805016"
"gauteng","Public Health","5894799"
"mpumalanga","Private Health","406986"
"mpumalanga","Public Health","1959808"
"western cape","","3"
"northern cape","Private Health","158497"
"eastern cape","Private Health","695572"
"western cape","Public Health","3707559"
"limpopo","Public Health","3191108"
"limpopo","","2"
"free state","Private Health","402289"
"eastern cape","Public Health","3619982"
