"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103216"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","120128"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72272"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107838"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51508"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","166273"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212647"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","91019"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81380"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76124"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153712"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144858"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33441"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","329585"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","563242"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102933"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","470022"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108220"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80239"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","346850"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58841"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","64123"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102926"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67842"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","142266"
