"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","519376"
"kwazulu-natal","Private Health","1197269"
"western cape","Private Health","1856624"
"limpopo","Private Health","577966"
"northern cape","Public Health","552900"
"gauteng","Private Health","4404481"
"kwazulu-natal","Public Health","4287780"
"free state","Public Health","1745840"
"north west","Public Health","1696991"
"gauteng","Public Health","5562839"
"mpumalanga","Private Health","387401"
"mpumalanga","Public Health","1753209"
"northern cape","Private Health","151829"
"eastern cape","Private Health","668478"
"western cape","Public Health","3562632"
"limpopo","Public Health","2927803"
"free state","Private Health","381895"
"eastern cape","Public Health","3259298"
