"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","671"
"Janssen Vaccines & Prevention B.V","free state","Adults","284"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1337"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1195"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","761"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","893"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","119"
"Janssen Vaccines & Prevention B.V","north west","Adults","331"
"Janssen Vaccines & Prevention B.V","western cape","Adults","272"
"Pfizer","eastern cape","12-17 Years","1875"
"Pfizer","eastern cape","Adults","948"
"Pfizer","free state","12-17 Years","609"
"Pfizer","free state","Adults","366"
"Pfizer","gauteng","12-17 Years","1206"
"Pfizer","gauteng","Adults","2073"
"Pfizer","kwazulu-natal","12-17 Years","1517"
"Pfizer","kwazulu-natal","Adults","1589"
"Pfizer","limpopo","12-17 Years","900"
"Pfizer","limpopo","Adults","637"
"Pfizer","mpumalanga","12-17 Years","532"
"Pfizer","mpumalanga","Adults","403"
"Pfizer","northern cape","12-17 Years","110"
"Pfizer","northern cape","Adults","152"
"Pfizer","north west","12-17 Years","482"
"Pfizer","north west","Adults","363"
"Pfizer","western cape","12-17 Years","74"
"Pfizer","western cape","Adults","616"
