"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","614"
"eastern cape","Public Health","8551"
"free state","Private Health","568"
"free state","Public Health","2968"
"gauteng","Private Health","3810"
"gauteng","Public Health","8391"
"kwazulu-natal","Private Health","816"
"kwazulu-natal","Public Health","10517"
"limpopo","Private Health","594"
"limpopo","Public Health","6692"
"mpumalanga","Private Health","464"
"mpumalanga","Public Health","4448"
"northern cape","Private Health","150"
"northern cape","Public Health","1257"
"north west","Private Health","588"
"north west","Public Health","2677"
"western cape","Private Health","1523"
"western cape","Public Health","2115"
