"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920405"
"eastern cape","Pfizer","1351700"
"free state","Johnson & Johnson","488372"
"free state","Pfizer","680355"
"gauteng","Johnson & Johnson","1556207"
"gauteng","Pfizer","3932158"
"kwazulu-natal","Johnson & Johnson","1251045"
"kwazulu-natal","Pfizer","1998813"
"limpopo","Johnson & Johnson","1083592"
"limpopo","Pfizer","1052108"
"mpumalanga","Johnson & Johnson","833778"
"mpumalanga","Pfizer","580257"
"northern cape","Johnson & Johnson","216551"
"northern cape","Pfizer","228218"
"north west","Johnson & Johnson","715583"
"north west","Pfizer","627020"
"western cape","Johnson & Johnson","754135"
"western cape","Pfizer","2129097"
