"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536955"
"kwazulu-natal","Private Health","1236530"
"western cape","Private Health","1922054"
"limpopo","Private Health","608557"
"northern cape","Public Health","608366"
"gauteng","Private Health","4572547"
"kwazulu-natal","Public Health","4661043"
"free state","Public Health","1863886"
"north west","Public Health","1785043"
"gauteng","Public Health","5834244"
"mpumalanga","Private Health","406328"
"mpumalanga","Public Health","1928777"
"northern cape","Private Health","158032"
"eastern cape","Private Health","694081"
"western cape","Public Health","3681219"
"limpopo","Public Health","3143030"
"free state","Private Health","400259"
"eastern cape","Public Health","3546350"
