"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920405"
"Janssen Vaccines & Prevention B.V","free state","Adults","488372"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1556211"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1251047"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083592"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","833778"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216551"
"Janssen Vaccines & Prevention B.V","north west","Adults","715583"
"Janssen Vaccines & Prevention B.V","western cape","Adults","754135"
"Pfizer","eastern cape","12-17 Years","116537"
"Pfizer","eastern cape","Adults","1138534"
"Pfizer","free state","12-17 Years","80079"
"Pfizer","free state","Adults","598460"
"Pfizer","gauteng","12-17 Years","170362"
"Pfizer","gauteng","Adults","3409755"
"Pfizer","kwazulu-natal","12-17 Years","133757"
"Pfizer","kwazulu-natal","Adults","1664798"
"Pfizer","limpopo","12-17 Years","99359"
"Pfizer","limpopo","Adults","884400"
"Pfizer","mpumalanga","12-17 Years","52676"
"Pfizer","mpumalanga","Adults","478379"
"Pfizer","northern cape","12-17 Years","14911"
"Pfizer","northern cape","Adults","195120"
"Pfizer","north west","12-17 Years","52727"
"Pfizer","north west","Adults","542308"
"Pfizer","western cape","12-17 Years","54194"
"Pfizer","western cape","Adults","1871195"
