"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536633"
"kwazulu-natal","Private Health","1235914"
"western cape","Private Health","1921156"
"limpopo","Private Health","607895"
"northern cape","Public Health","607120"
"gauteng","Private Health","4569320"
"kwazulu-natal","Public Health","4653856"
"free state","Public Health","1860980"
"north west","Public Health","1783338"
"gauteng","Public Health","5826793"
"mpumalanga","Private Health","406074"
"mpumalanga","Public Health","1924133"
"northern cape","Private Health","157893"
"eastern cape","Private Health","693860"
"western cape","Public Health","3677140"
"limpopo","Public Health","3137998"
"free state","Private Health","399997"
"eastern cape","Public Health","3533955"
