"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10218","5092","15310"
"National","eastern cape","Private Health","Male","8635","3943","12578"
"National","eastern cape","Public Health","Female","149650","60940","210590"
"National","eastern cape","Public Health","Male","123673","44429","168102"
"National","free state","Private Health","Female","9118","4637","13755"
"National","free state","Private Health","Male","7514","3588","11102"
"National","free state","Public Health","Female","83257","40946","124203"
"National","free state","Public Health","Male","71327","30819","102146"
"National","gauteng","Private Health","Female","52796","30167","82963"
"National","gauteng","Private Health","Male","48490","25919","74409"
"National","gauteng","Public Health","Female","160929","65982","226911"
"National","gauteng","Public Health","Male","127396","48619","176015"
"National","kwazulu-natal","Private Health","Female","16672","9515","26187"
"National","kwazulu-natal","Private Health","Male","15174","8187","23361"
"National","kwazulu-natal","Public Health","Female","157254","72163","229417"
"National","kwazulu-natal","Public Health","Male","107275","43870","151145"
"National","limpopo","Private Health","Female","11799","5350","17149"
"National","limpopo","Private Health","Male","9181","3708","12889"
"National","limpopo","Public Health","Female","144730","51291","196021"
"National","limpopo","Public Health","Male","124995","38356","163351"
"National","mpumalanga","Private Health","Female","3897","1701","5598"
"National","mpumalanga","Private Health","Male","3412","1518","4930"
"National","mpumalanga","Public Health","Female","77345","28811","106156"
"National","mpumalanga","Public Health","Male","63654","19830","83484"
"National","northern cape","Private Health","Female","2100","1047","3147"
"National","northern cape","Private Health","Male","1924","819","2743"
"National","northern cape","Public Health","Female","18160","7353","25513"
"National","northern cape","Public Health","Male","14269","5400","19669"
"National","north west","Private Health","Female","5116","2412","7528"
"National","north west","Private Health","Male","4645","2031","6676"
"National","north west","Public Health","Female","77672","27930","105602"
"National","north west","Public Health","Male","64466","20441","84907"
"National","western cape","Private Health","Female","23047","12639","35686"
"National","western cape","Private Health","Male","20869","10944","31813"
"National","western cape","Public Health","Female","48466","16794","65260"
"National","western cape","Public Health","Male","40574","13782","54356"
