"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","18"
"eastern cape","Public Health","1177"
"free state","Private Health","26"
"free state","Public Health","211"
"gauteng","Private Health","248"
"gauteng","Public Health","1179"
"kwazulu-natal","Private Health","21"
"kwazulu-natal","Public Health","455"
"limpopo","Private Health","31"
"limpopo","Public Health","818"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","340"
"mpumalanga","","1"
"northern cape","Private Health","21"
"northern cape","Public Health","121"
"north west","Private Health","9"
"north west","Public Health","340"
"western cape","Private Health","21"
"western cape","Public Health","484"
