"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","13"
"eastern cape","Public Health","1465"
"free state","Private Health","102"
"free state","Public Health","342"
"gauteng","Private Health","290"
"gauteng","Public Health","996"
"kwazulu-natal","Private Health","42"
"kwazulu-natal","Public Health","605"
"limpopo","Private Health","105"
"limpopo","Public Health","1128"
"mpumalanga","Private Health","12"
"mpumalanga","Public Health","403"
"northern cape","Private Health","1"
"northern cape","Public Health","135"
"north west","Private Health","19"
"north west","Public Health","287"
"western cape","Private Health","32"
"western cape","Public Health","485"
"western cape","","1"
