"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","16"
"eastern cape","Public Health","1814"
"free state","Private Health","10"
"free state","Public Health","322"
"gauteng","Private Health","323"
"gauteng","Public Health","1344"
"kwazulu-natal","Private Health","19"
"kwazulu-natal","Public Health","802"
"limpopo","Private Health","38"
"limpopo","Public Health","1180"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","634"
"northern cape","Private Health","2"
"northern cape","Public Health","251"
"north west","Private Health","24"
"north west","Public Health","369"
"western cape","Private Health","21"
"western cape","Public Health","560"
