"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","2"
"eastern cape","Public Health","155"
"free state","Public Health","8"
"gauteng","Private Health","214"
"gauteng","Public Health","297"
"kwazulu-natal","Private Health","68"
"kwazulu-natal","Public Health","510"
"limpopo","Private Health","57"
"limpopo","Public Health","174"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","84"
"northern cape","Private Health","18"
"northern cape","Public Health","20"
"north west","Public Health","710"
"western cape","Private Health","32"
"western cape","Public Health","2"
