"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","102762"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119713"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72040"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107464"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51369"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165527"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","211736"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90741"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81225"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","75944"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153492"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144731"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33347"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","324773"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","557441"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102545"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","467995"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","107681"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80001"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","343626"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58702"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63590"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102783"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67720"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141276"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102568"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97521"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","96788"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98854"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","274179"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","244896"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","186339"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","243825"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136266"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","414598"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","188958"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232088"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","71824"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41616"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16363"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28246"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","58927"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","295607"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109276"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","200988"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110543"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","432855"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121558"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6833"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","77992"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47484"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68610"
"Pfizer","eastern cape","Amathole DM","12-17 Years","8357"
"Pfizer","eastern cape","Amathole DM","Adults","148388"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","24753"
"Pfizer","eastern cape","A Nzo DM","Adults","102270"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","17240"
"Pfizer","eastern cape","Buffalo City MM","Adults","211426"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6436"
"Pfizer","eastern cape","C Hani DM","Adults","118755"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5431"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","55962"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14758"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","275795"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29371"
"Pfizer","eastern cape","O Tambo DM","Adults","136168"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11201"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93274"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9155"
"Pfizer","free state","Fezile Dabi DM","Adults","93726"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11572"
"Pfizer","free state","Lejweleputswa DM","Adults","153666"
"Pfizer","free state","Mangaung MM","12-17 Years","28104"
"Pfizer","free state","Mangaung MM","Adults","201189"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29205"
"Pfizer","free state","T Mofutsanyana DM","Adults","137212"
"Pfizer","free state","Xhariep DM","12-17 Years","1994"
"Pfizer","free state","Xhariep DM","Adults","14186"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38855"
"Pfizer","gauteng","Ekurhuleni MM","Adults","805859"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","56033"
"Pfizer","gauteng","Johannesburg MM","Adults","1490810"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12254"
"Pfizer","gauteng","Sedibeng DM","Adults","154900"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44429"
"Pfizer","gauteng","Tshwane MM","Adults","729559"
"Pfizer","gauteng","West Rand DM","12-17 Years","18126"
"Pfizer","gauteng","West Rand DM","Adults","234072"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4721"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","49872"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","23220"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","768773"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13696"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68098"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6988"
"Pfizer","kwazulu-natal","iLembe DM","Adults","98582"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8424"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92650"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8857"
"Pfizer","kwazulu-natal","Ugu DM","Adults","134334"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9626"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","213056"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15689"
"Pfizer","kwazulu-natal","Umkhanyakude DM","Adults","58499"
"Pfizer","kwazulu-natal","Umzinyathi DM","12-17 Years","9861"
"Pfizer","kwazulu-natal","Umzinyathi DM","Adults","42608"
"Pfizer","kwazulu-natal","Uthukela DM","12-17 Years","11210"
"Pfizer","kwazulu-natal","Uthukela DM","Adults","57516"
"Pfizer","kwazulu-natal","Zululand DM","12-17 Years","21181"
"Pfizer","kwazulu-natal","Zululand DM","Adults","84339"
"Pfizer","limpopo","Capricorn DM","12-17 Years","26385"
"Pfizer","limpopo","Capricorn DM","Adults","193384"
"Pfizer","limpopo","Mopani DM","12-17 Years","21452"
"Pfizer","limpopo","Mopani DM","Adults","176170"
"Pfizer","limpopo","Sekhukhune DM","12-17 Years","18359"
"Pfizer","limpopo","Sekhukhune DM","Adults","142767"
"Pfizer","limpopo","Vhembe DM","12-17 Years","21706"
"Pfizer","limpopo","Vhembe DM","Adults","203731"
"Pfizer","limpopo","Waterberg DM","12-17 Years","11929"
"Pfizer","limpopo","Waterberg DM","Adults","170438"
"Pfizer","mpumalanga","Ehlanzeni DM","12-17 Years","30914"
"Pfizer","mpumalanga","Ehlanzeni DM","Adults","199988"
"Pfizer","mpumalanga","G Sibande DM","12-17 Years","10411"
"Pfizer","mpumalanga","G Sibande DM","Adults","137880"
"Pfizer","mpumalanga","Nkangala DM","12-17 Years","12307"
"Pfizer","mpumalanga","Nkangala DM","Adults","142019"
"Pfizer","northern cape","Frances Baard DM","12-17 Years","6006"
"Pfizer","northern cape","Frances Baard DM","Adults","69470"
"Pfizer","northern cape","J T Gaetsewe DM","12-17 Years","2302"
"Pfizer","northern cape","J T Gaetsewe DM","Adults","35541"
"Pfizer","northern cape","Namakwa DM","12-17 Years","1184"
"Pfizer","northern cape","Namakwa DM","Adults","26227"
"Pfizer","northern cape","Pixley ka Seme DM","12-17 Years","2768"
"Pfizer","northern cape","Pixley ka Seme DM","Adults","26069"
"Pfizer","northern cape","ZF Mgcawu DM","12-17 Years","2747"
"Pfizer","northern cape","ZF Mgcawu DM","Adults","38153"
