"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","155","38","193"
"National","eastern cape","Amathole DM","Private Health","Male","98","19","117"
"National","eastern cape","Amathole DM","Public Health","Female","13844","4527","18371"
"National","eastern cape","Amathole DM","Public Health","Male","11718","3773","15491"
"National","eastern cape","A Nzo DM","Public Health","Female","29776","14215","43991"
"National","eastern cape","A Nzo DM","Public Health","Male","25789","10538","36327"
"National","eastern cape","Buffalo City MM","Private Health","Female","2898","1194","4092"
"National","eastern cape","Buffalo City MM","Private Health","Male","2360","910","3270"
"National","eastern cape","Buffalo City MM","Public Health","Female","16075","8997","25072"
"National","eastern cape","Buffalo City MM","Public Health","Male","12365","6139","18504"
"National","eastern cape","C Hani DM","Private Health","Female","227","103","330"
"National","eastern cape","C Hani DM","Private Health","Male","162","74","236"
"National","eastern cape","C Hani DM","Public Health","Female","14032","3623","17655"
"National","eastern cape","C Hani DM","Public Health","Male","11276","2636","13912"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","662","368","1030"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","509","219","728"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7885","2699","10584"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7059","2145","9204"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4153","2089","6242"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3729","1735","5464"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15723","6425","22148"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12236","4509","16745"
"National","eastern cape","O Tambo DM","Private Health","Female","317","122","439"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43782","16726","60508"
"National","eastern cape","O Tambo DM","Public Health","Male","36588","12410","48998"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1596","1094","2690"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1382","826","2208"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9658","5337","14995"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8117","3944","12061"
"National","free state","Fezile Dabi DM","Private Health","Female","475","346","821"
"National","free state","Fezile Dabi DM","Private Health","Male","451","287","738"
"National","free state","Fezile Dabi DM","Public Health","Female","13315","4944","18259"
"National","free state","Fezile Dabi DM","Public Health","Male","10826","3578","14404"
"National","free state","Lejweleputswa DM","Private Health","Female","3829","1472","5301"
"National","free state","Lejweleputswa DM","Private Health","Male","3068","1109","4177"
"National","free state","Lejweleputswa DM","Public Health","Female","14177","5279","19456"
"National","free state","Lejweleputswa DM","Public Health","Male","12148","3712","15860"
"National","free state","Mangaung MM","Private Health","Female","2911","1697","4608"
"National","free state","Mangaung MM","Private Health","Male","2420","1290","3710"
"National","free state","Mangaung MM","Public Health","Female","23649","13916","37565"
"National","free state","Mangaung MM","Public Health","Male","21129","11201","32330"
"National","free state","T Mofutsanyana DM","Private Health","Female","1877","1142","3019"
"National","free state","T Mofutsanyana DM","Private Health","Male","1599","926","2525"
"National","free state","T Mofutsanyana DM","Public Health","Female","27065","15497","42562"
"National","free state","T Mofutsanyana DM","Public Health","Male","23211","11640","34851"
"National","free state","Xhariep DM","Public Health","Female","4299","1197","5496"
"National","free state","Xhariep DM","Public Health","Male","3521","797","4318"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10942","6668","17610"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10079","5659","15738"
"National","gauteng","Ekurhuleni MM","Public Health","Female","41182","15371","56553"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32480","11157","43637"
"National","gauteng","Johannesburg MM","Private Health","Female","25629","13875","39504"
"National","gauteng","Johannesburg MM","Private Health","Male","23395","12025","35420"
"National","gauteng","Johannesburg MM","Public Health","Female","46768","16935","63703"
"National","gauteng","Johannesburg MM","Public Health","Male","37823","13198","51021"
"National","gauteng","Sedibeng DM","Private Health","Female","1613","1028","2641"
"National","gauteng","Sedibeng DM","Private Health","Male","1453","707","2160"
"National","gauteng","Sedibeng DM","Public Health","Female","13928","5956","19884"
"National","gauteng","Sedibeng DM","Public Health","Male","10939","4563","15502"
"National","gauteng","Tshwane MM","Private Health","Female","11667","6699","18366"
"National","gauteng","Tshwane MM","Private Health","Male","11082","6041","17123"
"National","gauteng","Tshwane MM","Public Health","Female","40036","18642","58678"
"National","gauteng","Tshwane MM","Public Health","Male","30902","13047","43949"
"National","gauteng","West Rand DM","Private Health","Female","2211","1522","3733"
"National","gauteng","West Rand DM","Private Health","Male","1840","1236","3076"
"National","gauteng","West Rand DM","Public Health","Female","17569","8791","26360"
"National","gauteng","West Rand DM","Public Health","Male","14383","6577","20960"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","216","73","289"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","185","57","242"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6621","2847","9468"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4243","1744","5987"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11962","7054","19016"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","11111","6219","17330"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14502","5529","20031"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11801","4418","16219"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","365","170","535"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","348","137","485"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","13084","7770","20854"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10237","5619","15856"
"National","kwazulu-natal","iLembe DM","Private Health","Female","553","336","889"
"National","kwazulu-natal","iLembe DM","Private Health","Male","489","284","773"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8423","4156","12579"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4969","2212","7181"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","337","136","473"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","313","96","409"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12486","5088","17574"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8090","3104","11194"
"National","kwazulu-natal","Ugu DM","Private Health","Female","905","562","1467"
"National","kwazulu-natal","Ugu DM","Private Health","Male","721","429","1150"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12443","5124","17567"
"National","kwazulu-natal","Ugu DM","Public Health","Male","8013","2742","10755"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1639","853","2492"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1517","774","2291"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12561","4960","17521"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8710","3039","11749"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","26","7","33"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20623","10268","30891"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","13093","5409","18502"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","59","19","78"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","34","14","48"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","15005","6365","21370"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9269","3463","12732"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","286","123","409"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","187","78","265"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15451","6946","22397"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10414","4063","14477"
"National","kwazulu-natal","Zululand DM","Private Health","Female","60","7","67"
"National","kwazulu-natal","Zululand DM","Private Health","Male","48","4","52"
"National","kwazulu-natal","Zululand DM","Public Health","Female","24392","12983","37375"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17521","8187","25708"
"National","limpopo","Capricorn DM","Private Health","Female","2629","1409","4038"
"National","limpopo","Capricorn DM","Private Health","Male","2152","1064","3216"
"National","limpopo","Capricorn DM","Public Health","Female","33973","13631","47604"
"National","limpopo","Capricorn DM","Public Health","Male","29354","10281","39635"
"National","limpopo","Mopani DM","Private Health","Female","981","485","1466"
"National","limpopo","Mopani DM","Private Health","Male","851","403","1254"
"National","limpopo","Mopani DM","Public Health","Female","36077","12007","48084"
"National","limpopo","Mopani DM","Public Health","Male","29648","8557","38205"
"National","limpopo","Sekhukhune DM","Private Health","Female","846","411","1257"
"National","limpopo","Sekhukhune DM","Private Health","Male","837","319","1156"
"National","limpopo","Sekhukhune DM","Public Health","Female","25360","9543","34903"
"National","limpopo","Sekhukhune DM","Public Health","Male","25033","8086","33119"
"National","limpopo","Vhembe DM","Private Health","Female","5964","2524","8488"
"National","limpopo","Vhembe DM","Private Health","Male","4089","1481","5570"
"National","limpopo","Vhembe DM","Public Health","Female","32529","10332","42861"
"National","limpopo","Vhembe DM","Public Health","Male","27052","7369","34421"
"National","limpopo","Waterberg DM","Private Health","Female","1264","514","1778"
"National","limpopo","Waterberg DM","Private Health","Male","1140","441","1581"
"National","limpopo","Waterberg DM","Public Health","Female","16341","6355","22696"
"National","limpopo","Waterberg DM","Public Health","Male","13520","4619","18139"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2053","958","3011"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1742","848","2590"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","45511","17780","63291"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","34543","11328","45871"
"National","mpumalanga","G Sibande DM","Private Health","Female","706","275","981"
"National","mpumalanga","G Sibande DM","Private Health","Male","600","251","851"
"National","mpumalanga","G Sibande DM","Public Health","Female","15532","5885","21417"
"National","mpumalanga","G Sibande DM","Public Health","Male","11942","4000","15942"
"National","mpumalanga","Nkangala DM","Private Health","Female","1076","448","1524"
"National","mpumalanga","Nkangala DM","Private Health","Male","1020","401","1421"
"National","mpumalanga","Nkangala DM","Public Health","Female","16292","6239","22531"
"National","mpumalanga","Nkangala DM","Public Health","Male","17057","5219","22276"
"National","northern cape","Frances Baard DM","Private Health","Female","1257","628","1885"
"National","northern cape","Frances Baard DM","Private Health","Male","1197","514","1711"
"National","northern cape","Frances Baard DM","Public Health","Female","6311","2783","9094"
"National","northern cape","Frances Baard DM","Public Health","Male","5061","2081","7142"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","319","200","519"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","277","144","421"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3101","1119","4220"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2387","839","3226"
"National","northern cape","Namakwa DM","Private Health","Female","168","98","266"
"National","northern cape","Namakwa DM","Private Health","Male","156","72","228"
"National","northern cape","Namakwa DM","Public Health","Female","1561","574","2135"
"National","northern cape","Namakwa DM","Public Health","Male","1251","440","1691"
"National","northern cape","Pixley ka Seme DM","Public Health","Female","3653","1616","5269"
"National","northern cape","Pixley ka Seme DM","Public Health","Male","2784","1152","3936"
"National","northern cape","ZF Mgcawu DM","Private Health","Female","323","110","433"
"National","northern cape","ZF Mgcawu DM","Private Health","Male","266","78","344"
"National","northern cape","ZF Mgcawu DM","Public Health","Female","3560","1497","5057"
"National","northern cape","ZF Mgcawu DM","Public Health","Male","2829","1062","3891"
"National","north west","Bojanala Platinum DM","Private Health","Female","2485","1190","3675"
"National","north west","Bojanala Platinum DM","Private Health","Male","2263","990","3253"
"National","north west","Bojanala Platinum DM","Public Health","Female","30025","12341","42366"
"National","north west","Bojanala Platinum DM","Public Health","Male","24616","8942","33558"
"National","north west","Dr K Kaunda DM","Private Health","Female","1380","672","2052"
"National","north west","Dr K Kaunda DM","Private Health","Male","1163","539","1702"
"National","north west","Dr K Kaunda DM","Public Health","Female","12771","4481","17252"
"National","north west","Dr K Kaunda DM","Public Health","Male","10375","3333","13708"
"National","north west","Ngaka Modiri Molema DM","Private Health","Female","917","380","1297"
"National","north west","Ngaka Modiri Molema DM","Private Health","Male","822","368","1190"
"National","north west","Ngaka Modiri Molema DM","Public Health","Female","20700","7114","27814"
"National","north west","Ngaka Modiri Molema DM","Public Health","Male","17165","5098","22263"
"National","north west","Ruth Segomotsi Mompati DM","Private Health","Female","248","136","384"
"National","north west","Ruth Segomotsi Mompati DM","Private Health","Male","341","120","461"
"National","north west","Ruth Segomotsi Mompati DM","Public Health","Female","13355","3811","17166"
"National","north west","Ruth Segomotsi Mompati DM","Public Health","Male","11760","3017","14777"
"National","western cape","Cape Town MM","Private Health","Female","17046","9430","26476"
"National","western cape","Cape Town MM","Private Health","Male","15470","8204","23674"
"National","western cape","Cape Town MM","Public Health","Female","29954","10498","40452"
"National","western cape","Cape Town MM","Public Health","Male","25249","9019","34268"
"National","western cape","Cape Winelands DM","Private Health","Female","2967","1597","4564"
"National","western cape","Cape Winelands DM","Private Health","Male","2679","1403","4082"
"National","western cape","Cape Winelands DM","Public Health","Female","6300","2371","8671"
"National","western cape","Cape Winelands DM","Public Health","Male","5383","1860","7243"
"National","western cape","Central Karoo DM","Private Health","Female","72","42","114"
"National","western cape","Central Karoo DM","Private Health","Male","61","27","88"
"National","western cape","Central Karoo DM","Public Health","Female","757","344","1101"
"National","western cape","Central Karoo DM","Public Health","Male","578","256","834"
"National","western cape","Garden Route DM","Private Health","Female","1133","629","1762"
"National","western cape","Garden Route DM","Private Health","Male","1036","538","1574"
"National","western cape","Garden Route DM","Public Health","Female","5210","1830","7040"
"National","western cape","Garden Route DM","Public Health","Male","4351","1379","5730"
"National","western cape","Overberg DM","Private Health","Female","553","290","843"
"National","western cape","Overberg DM","Private Health","Male","495","234","729"
"National","western cape","Overberg DM","Public Health","Female","2507","715","3222"
"National","western cape","Overberg DM","Public Health","Male","1930","545","2475"
"National","western cape","West Coast DM","Private Health","Female","878","454","1332"
"National","western cape","West Coast DM","Private Health","Male","850","403","1253"
"National","western cape","West Coast DM","Public Health","Female","3326","1230","4556"
"National","western cape","West Coast DM","Public Health","Male","2812","919","3731"
