"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537495"
"kwazulu-natal","Private Health","1237281"
"western cape","Private Health","1923046"
"limpopo","Private Health","609871"
"northern cape","Public Health","610264"
"gauteng","Private Health","4578311"
"kwazulu-natal","Public Health","4672566"
"free state","Public Health","1868803"
"north west","Public Health","1788853"
"gauteng","Public Health","5848104"
"mpumalanga","Private Health","406625"
"mpumalanga","Public Health","1936569"
"northern cape","Private Health","158170"
"eastern cape","Private Health","694493"
"western cape","Public Health","3687649"
"limpopo","Public Health","3152874"
"free state","Private Health","400980"
"eastern cape","Public Health","3561049"
