"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","779"
"eastern cape","Public Health","7004"
"free state","Private Health","621"
"free state","Public Health","4273"
"gauteng","Private Health","4527"
"gauteng","Public Health","8180"
"kwazulu-natal","Private Health","979"
"kwazulu-natal","Public Health","6142"
"limpopo","Private Health","732"
"limpopo","Public Health","6862"
"mpumalanga","Private Health","368"
"mpumalanga","Public Health","3829"
"northern cape","Private Health","207"
"northern cape","Public Health","971"
"north west","Private Health","628"
"north west","Public Health","2349"
"western cape","Private Health","2029"
"western cape","Public Health","3071"
