"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","347"
"eastern cape","Public Health","2091"
"free state","Private Health","207"
"free state","Public Health","435"
"gauteng","Private Health","3462"
"gauteng","Public Health","2654"
"kwazulu-natal","Private Health","1084"
"kwazulu-natal","Public Health","2190"
"limpopo","Private Health","320"
"limpopo","Public Health","684"
"mpumalanga","Private Health","162"
"mpumalanga","Public Health","1291"
"northern cape","Private Health","252"
"northern cape","Public Health","630"
"north west","Private Health","184"
"north west","Public Health","1508"
"western cape","Private Health","1012"
"western cape","Public Health","1633"
