"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","614","0","999","1613"
"Janssen Vaccines & Prevention B.V","free state","Adults","469","0","1216","1685"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1819","0","2214","4033"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","916","0","1256","2172"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","640","0","1298","1938"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","814","0","1038","1852"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","107","0","302","409"
"Janssen Vaccines & Prevention B.V","north west","Adults","504","0","1007","1511"
"Janssen Vaccines & Prevention B.V","western cape","Adults","568","0","1113","1681"
"Pfizer","eastern cape","12-17 Years","697","678","0","1375"
"Pfizer","eastern cape","Adults","414","891","2017","3322"
"Pfizer","free state","12-17 Years","288","1144","0","1432"
"Pfizer","free state","Adults","366","811","1927","3104"
"Pfizer","gauteng","12-17 Years","674","2793","1","3468"
"Pfizer","gauteng","Adults","1978","6034","8525","16537"
"Pfizer","kwazulu-natal","12-17 Years","802","995","0","1797"
"Pfizer","kwazulu-natal","Adults","1197","2066","3309","6572"
"Pfizer","limpopo","12-17 Years","566","1181","0","1747"
"Pfizer","limpopo","Adults","384","964","2038","3386"
"Pfizer","mpumalanga","12-17 Years","378","530","0","908"
"Pfizer","mpumalanga","Adults","288","633","1324","2245"
"Pfizer","northern cape","12-17 Years","47","155","0","202"
"Pfizer","northern cape","Adults","99","228","440","767"
"Pfizer","north west","12-17 Years","214","465","0","679"
"Pfizer","north west","Adults","300","714","1584","2598"
"Pfizer","western cape","12-17 Years","190","686","0","876"
"Pfizer","western cape","Adults","731","1734","6044","8509"
