"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","514"
"Janssen Vaccines & Prevention B.V","free state","Adults","343"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1230"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","850"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","541"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","558"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","71"
"Janssen Vaccines & Prevention B.V","north west","Adults","329"
"Janssen Vaccines & Prevention B.V","western cape","Adults","318"
"Pfizer","eastern cape","12-17 Years","662"
"Pfizer","eastern cape","Adults","895"
"Pfizer","free state","12-17 Years","645"
"Pfizer","free state","Adults","526"
"Pfizer","gauteng","12-17 Years","1628"
"Pfizer","gauteng","Adults","3081"
"Pfizer","kwazulu-natal","12-17 Years","686"
"Pfizer","kwazulu-natal","Adults","1562"
"Pfizer","limpopo","12-17 Years","946"
"Pfizer","limpopo","Adults","656"
"Pfizer","mpumalanga","12-17 Years","293"
"Pfizer","mpumalanga","Adults","402"
"Pfizer","northern cape","12-17 Years","55"
"Pfizer","northern cape","Adults","126"
"Pfizer","north west","12-17 Years","216"
"Pfizer","north west","Adults","453"
"Pfizer","western cape","12-17 Years","584"
"Pfizer","western cape","Adults","1012"
