"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","379","0","837","1216"
"Janssen Vaccines & Prevention B.V","free state","Adults","368","0","653","1021"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1239","0","1340","2579"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","681","0","773","1454"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","798","0","1583","2381"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","902","0","862","1764"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","111","0","245","356"
"Janssen Vaccines & Prevention B.V","north west","Adults","399","0","853","1252"
"Janssen Vaccines & Prevention B.V","western cape","Adults","402","0","558","960"
"Pfizer","eastern cape","12-17 Years","913","647","0","1560"
"Pfizer","eastern cape","Adults","406","716","1614","2736"
"Pfizer","free state","12-17 Years","767","879","0","1646"
"Pfizer","free state","Adults","350","515","1337","2202"
"Pfizer","gauteng","12-17 Years","934","1543","0","2477"
"Pfizer","gauteng","Adults","1656","2744","4413","8813"
"Pfizer","kwazulu-natal","12-17 Years","559","897","0","1456"
"Pfizer","kwazulu-natal","Adults","606","928","1166","2700"
"Pfizer","limpopo","12-17 Years","1231","678","0","1909"
"Pfizer","limpopo","Adults","411","832","1937","3180"
"Pfizer","mpumalanga","12-17 Years","1307","625","0","1932"
"Pfizer","mpumalanga","Adults","263","447","778","1488"
"Pfizer","northern cape","12-17 Years","19","14","0","33"
"Pfizer","northern cape","Adults","93","169","274","536"
"Pfizer","north west","12-17 Years","410","624","0","1034"
"Pfizer","north west","Adults","268","527","842","1637"
"Pfizer","western cape","12-17 Years","97","126","0","223"
"Pfizer","western cape","Adults","542","869","2646","4057"
