"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1314"
"eastern cape","Public Health","7779"
"free state","Private Health","1080"
"free state","Public Health","5356"
"gauteng","Private Health","10004"
"gauteng","Public Health","13292"
"kwazulu-natal","Private Health","2436"
"kwazulu-natal","Public Health","7611"
"limpopo","Private Health","1592"
"limpopo","Public Health","7515"
"mpumalanga","Private Health","726"
"mpumalanga","Public Health","5091"
"northern cape","Private Health","359"
"northern cape","Public Health","883"
"north west","Private Health","1096"
"north west","Public Health","4259"
"western cape","Private Health","3755"
"western cape","Public Health","4702"
